Postcode,Number of individuals lodging an income tax return,Average taxable income or loss,Average salary or wages,Average net rent,Median net rent,Average total income or loss,Count net tax,Average net tax,Median net tax,Average super total accounts balance,Median super total accounts balance
3141,18289,128008,92003,2169,1084,134499,15054,49416,17882,299859,43290
3142,9540,266020,114110,8817,3326,283281,7631,130624,25497,956724,124464
3143,6757,136611,101917,3786,1340,144222,5495,54697,20970,425685,86494
3144,7756,177268,115801,4460,2580,185084,6200,79405,24122,561877,141307
3145,15619,111222,94131,1556,966,116144,11985,44233,18007,304129,88512
3146,17104,119793,101436,1306,722,125407,13337,47883,20524,334481,117666
3147,9405,93828,90012,410,161,98140,7080,34710,19016,236044,96940
3148,6097,69553,71734,680,112,72502,4677,20499,13140,121864,46185
3149,22934,75260,75681,872,90,78620,16342,26427,14208,206879,67850
3150,39923,70920,71191,1087,377,73984,26955,26188,13126,210994,62252
3151,6971,60119,65947,1552,54,62875,4771,18805,11674,156691,47619
3152,21961,64267,68666,301,-43,67045,15732,19747,12447,165630,68178
3153,12864,60671,63790,-20,-382,62993,9965,15596,11106,121258,60039
3154,2698,66132,67572,1064,648,68929,2040,19031,13181,174729,93731
3155,14125,60783,64381,525,-82,63125,10934,15494,11289,124656,62953
3156,23844,67165,67580,463,-115,69942,18435,19030,12168,157731,76619
3158,4313,67163,70615,844,-34,69966,3259,19606,13231,170393,92905
3159,1593,70462,70590,836,438,73407,1198,21443,14587,200017,93277
3160,5645,74901,70915,1035,292,77874,4371,23333,13732,164948,89917
3161,11280,121381,83318,6249,3250,127940,8915,48341,18391,395480,68531
3162,11815,101539,88091,5616,2652,106425,9073,38242,18312,312267,89882
3163,21829,78800,77710,2013,1025,81888,17128,24615,14492,161457,56748
3165,18080,80918,82397,845,79,84270,13846,26617,16095,168182,85947
3166,15550,72835,73591,2073,768,75753,12045,21953,13342,146571,54566
3167,6005,67562,70606,1292,316,70167,4557,19709,12620,135312,57685
3168,14050,49241,50961,2012,851,51229,9239,13587,8163,59814,10159
3169,12397,56716,59871,1364,560,58856,9178,14544,9861,85861,30013
3170,12039,66919,68503,260,-130,69564,8930,20200,12459,138290,59018
3171,12786,47968,50216,2444,1453,50201,8908,11478,6974,58884,14287
3172,13714,57575,59377,1762,503,60175,10010,15619,9461,128280,45163
3173,17948,60990,62579,-352,-528,63514,13594,16492,10444,96772,40578
3174,22671,49648,52894,997,29,51788,16551,11202,7975,68356,20182
3175,28286,51782,53932,1557,117,53964,20613,12444,7964,77255,22244
3177,6125,47176,50407,801,129,49025,4466,9984,6971,51651,16493
3178,21848,67154,70269,-200,-327,70084,16758,19140,12929,160818,75371
3179,3783,62376,64954,-831,-342,65026,2846,17360,11328,127770,60787
3180,4807,60613,65447,277,-315,63120,3510,17033,12002,149101,64499
3181,13941,104694,91114,2191,913,108801,11768,35465,17133,181129,50909
3182,16526,87572,79834,2279,1274,91774,13515,28147,14453,173400,42623
3183,11921,88910,79099,3352,1564,93075,9660,29039,15205,190468,48751
3184,10360,108247,93171,2108,1420,113465,8629,37684,18421,225244,76217
3185,8966,106903,92707,3534,1977,112142,7059,40113,17890,266612,80892
3186,16352,170500,119195,5525,3077,177525,12471,79524,25301,619061,165674
3187,10539,111098,104939,3234,1638,116264,7871,45391,20952,332368,129297
3188,11786,117213,105561,1842,932,121978,8968,47731,21203,300551,120841
3189,4056,74933,79819,913,190,77989,3148,22742,14505,162143,77633
3190,7499,84092,87296,763,47,87508,5931,26751,16685,176506,91654
3191,7083,120264,103648,2114,1282,125334,5416,49093,21433,372947,146321
3192,14983,76888,79677,899,-48,80381,11588,23803,15233,167543,82617
3193,13548,114222,100795,2745,1532,119301,10012,47718,21066,391760,161817
3194,8727,79988,80301,2967,1209,83167,6733,25608,15553,206832,92595
3195,23373,80354,79602,1144,10,83859,18210,25637,15651,205339,102770
3196,16192,73684,74974,826,14,76861,12871,21336,14428,168974,89308
3197,7557,75398,72924,2446,1142,79287,5824,23426,14178,227348,92647
3198,10097,63005,65868,700,7,65712,7775,16654,11920,126532,70040
3199,32459,64145,65606,1786,458,66981,24629,17827,11437,146114,65378
3200,2659,50424,51711,-184,306,52274,1974,11161,7874,67809,32326
3201,13197,59706,60854,13,-279,62196,10688,13987,10153,95275,52631
3202,1694,71471,74159,-272,-340,74918,1302,21250,14463,141723,71121
3204,20928,85340,84931,1538,476,89059,16128,28835,16517,198988,81972
3205,8340,106903,95317,1659,558,111407,6685,38728,18957,248255,64080
3206,6767,178133,128396,2146,1710,187606,5337,78899,27301,522963,155271
3207,11755,113516,102590,1399,586,118505,9440,41956,21874,304100,108011
3211,778,83648,67942,2845,2002,87196,586,29811,12779,232089,91765
3212,11375,66244,68412,1208,272,69085,9046,17483,12369,143011,71284
3213,2717,69385,65306,3534,1650,72712,2110,20139,11895,159530,65120
3214,11726,48499,50005,1690,888,50473,8610,10375,7326,71857,24995
3215,12812,64510,64392,3624,1674,67324,10019,17220,10981,156726,62291
3216,36634,67194,65812,2212,902,70340,27646,19740,11958,180936,73445
3217,14486,66233,66809,338,-356,69084,12040,16384,11984,100323,48592
3218,9488,76119,72767,1821,630,79562,7650,22372,13725,170003,79266
3219,11605,57962,58380,2016,895,60548,8943,14257,8983,128533,53194
3220,11450,93586,75853,3967,1819,98231,8833,33297,15231,306233,94252
3221,1396,102108,71740,3574,2525,108491,1041,41060,15574,351063,139500
3222,10660,63878,62468,2872,1221,66852,7915,18458,10904,182688,80252
3223,5437,59648,60387,3363,1984,62869,3595,19421,10767,239474,109431
3224,8823,59795,61690,2741,992,62439,6573,16158,10666,167665,75403
3225,3454,77742,68202,4878,3600,82897,2307,30605,14106,444885,173347
3226,10819,71918,69946,2600,1221,75536,8085,22586,13187,249289,111567
3227,3448,96038,83948,3112,1616,101444,2569,36735,17768,405535,153189
3228,15137,83193,76332,2783,1504,87145,11650,27733,15515,237059,103133
3230,1918,74579,66417,4892,3771,79220,1323,27089,12112,371825,131776
3231,996,77309,64411,5896,5545,81638,678,29315,12882,394354,150662
3232,885,83793,53588,6969,4908,87757,624,33763,8941,316447,64264
3233,1437,52951,51627,8396,5120,55884,967,14895,7803,203809,70108
3234,121,77753,76239,4880,1797,82689,77,32374,13677,349579,92952
3235,282,59669,67767,1743,891,64988,186,19407,9648,260332,95882
3236,151,54812,54941,5878,2016,58172,99,16637,10747,188846,79942
3237,160,41986,48906,1787,2885,44693,93,12965,7785,141584,56582
3238,161,56673,56274,3492,362,60983,107,18563,7478,203040,66453
3239,259,59676,56542,5289,4692,62959,179,17706,8590,152097,61403
3240,1502,71596,67208,2169,1475,75528,1158,21607,13032,242805,97538
3241,1915,58707,58536,2850,1601,61883,1398,16200,10455,157521,64164
3242,665,58602,58985,4989,2294,62318,483,16614,10041,207054,73591
3243,254,56167,59350,8164,5676,60733,176,15291,9731,240468,85493
3249,2208,54287,53922,4407,2686,58908,1559,14611,9746,180084,74026
3250,7600,56367,56316,3953,2129,59488,5812,13799,9216,147897,56971
3251,356,60110,58096,2017,1157,64489,262,16358,10272,172289,61319
3254,186,55383,53208,2106,2444,59184,146,12710,10556,111701,47599
3260,2849,55400,54114,4675,3190,59129,2052,14370,9433,181318,68990
3264,1461,57592,54257,4518,2978,61105,1059,15410,9332,169106,67472
3265,1651,58628,55413,4663,3142,63650,1253,15178,10155,136961,52981
3266,1830,57561,55057,5073,3478,61633,1344,14841,9478,157226,61593
3267,169,51136,52395,4829,4456,55059,118,12105,8493,137950,49225
3268,1809,54930,52230,5307,2718,61870,1310,13860,8778,177445,53116
3269,443,58237,52903,6061,3500,63051,307,17447,8674,190096,54223
3270,171,53461,58158,4951,4520,59175,112,15572,9452,240484,83638
3271,135,47813,41361,8057,4135,55406,94,13697,6442,164972,39462
3272,902,51265,48831,4695,1933,55802,635,12731,7764,135721,54250
3273,98,74986,42088,1647,3307,81631,72,23091,11599,332650,41564
3274,158,62444,47564,8258,3836,73658,104,22488,9223,189516,72996
3275,324,60806,62524,-116,616,64285,260,14469,10057,142616,65342
3276,310,52941,49700,5142,4278,55680,232,12745,7355,106350,47463
3277,1166,66389,58874,4555,3278,71202,924,17933,10129,190672,76118
3278,191,62113,50990,9395,4210,65505,151,15535,9269,128485,50634
3279,226,61483,49103,6984,3614,67683,172,15841,10521,130535,40958
3280,20691,60534,58005,4163,2109,63930,15819,15917,9641,170295,67000
3281,1237,64824,62024,3589,2426,68691,955,17912,11219,197287,86985
3282,1734,58887,57137,5008,2344,62469,1331,14636,9758,156687,79188
3283,873,61997,57505,4063,2882,66757,667,16496,10544,163284,71507
3284,2184,65024,59213,8435,4369,69304,1546,20391,11043,277906,109473
3285,789,75718,63277,3747,1288,79899,594,25225,11287,205375,85923
3286,366,63340,49339,3873,699,67046,262,19520,8223,145007,57958
3287,287,63250,51721,1504,1016,69693,222,16378,9623,120121,45578
3289,454,55021,46153,3763,1536,59589,320,14695,8691,156753,54834
3292,94,49155,59482,6093,4527,54617,64,13696,5354,222365,128230
3293,209,65718,48721,1924,273,71675,154,18064,10482,243025,65746
3294,645,59668,54268,7066,2753,65092,457,17445,9128,240347,82582
3300,6080,57201,55279,4746,2616,60274,4501,14983,9065,173023,68623
3301,804,72670,53572,7453,3071,84105,594,25429,9688,230392,77710
3302,268,63535,51906,6329,3071,78837,185,19948,11215,158863,58858
3303,190,56868,55416,21257,4925,62639,137,15543,9217,167183,52863
3304,1539,55741,53712,4459,2128,58845,1115,14249,9700,158531,67000
3305,7563,58362,59422,2756,1978,60905,5513,15722,10469,179266,74119
3309,67,50048,50242,6176,1763,52331,42,14532,7542,130295,60903
3310,150,51185,48176,1386,1470,54359,111,11686,8040,92379,58327
3311,885,52909,52615,3818,2630,56098,620,13544,8386,136026,59791
3312,577,62405,47115,5976,2798,66624,427,16064,8803,205336,62996
3314,363,57958,51691,4632,2125,62699,258,16775,9074,192119,78734
3315,994,56479,49458,4678,2941,61737,701,15668,8779,188603,64218
3317,120,51945,48709,10378,4248,55436,84,13561,10017,141092,49837
3318,714,56268,49355,5998,2844,61114,501,16192,9897,142418,58227
3319,243,63612,51819,3403,1621,68625,175,20116,9197,165347,71176
3321,1074,68055,66915,1188,254,71736,808,19953,13946,191099,95663
3322,101,44893,52795,7707,3000,48440,68,10643,7560,130462,48110
3323,74,51304,56775,6394,8545,58938,50,16714,13884,279869,85733
3324,319,53997,50397,4050,4880,59649,216,15609,9351,223374,59008
3325,283,44604,42278,1244,1240,48697,184,13196,6524,240643,60940
3328,1362,66066,66219,1582,1019,69284,1082,17532,12359,139880,83044
3329,195,53498,53910,-202,481,57237,135,14668,9431,209242,69125
3330,132,49704,48850,6751,3061,52550,91,12456,7909,205396,49524
3331,4366,67937,66873,1607,353,71399,3409,19125,12778,176069,82630
3332,763,60567,59982,2008,1046,63458,584,16167,10558,183379,74550
3333,528,71906,58865,3583,3748,75059,388,24824,9439,170587,67976
3334,349,59190,58541,6531,3360,62812,273,14612,9489,145295,72631
3335,6126,61859,63362,-1696,-1560,64402,4828,15888,11174,56080,27160
3336,11751,64322,67815,-2515,-1999,66929,9438,16337,12439,62707,35182
3337,22021,56023,58384,-22,-672,58535,16634,13708,9672,94147,39480
3338,20970,56676,60302,-1656,-1326,59211,16018,13755,10026,71961,28625
3340,15268,70056,68022,1630,-194,73205,11917,20373,12522,154626,68681
3341,1004,68601,71406,-1008,-868,72199,781,19428,13920,174577,97065
3342,2278,66292,67096,1147,-16,69632,1744,18925,12280,169066,82990
3345,852,73594,75940,1278,336,76973,676,21382,14295,174055,99366
3350,39204,66497,64522,1385,597,69864,30035,18973,11266,179802,70649
3351,5461,57906,59734,2028,1379,61698,4101,15168,9831,152963,72337
3352,11443,64473,63125,3157,1426,68091,8711,18204,10979,172386,77320
3355,6536,56172,55872,2995,1404,58768,4735,15111,8330,137193,50848
3356,8220,50460,52483,1699,403,52985,6075,11248,7714,98698,43445
3357,2328,70189,71072,1616,814,74138,1745,21371,13734,238782,128537
3358,2339,63520,61972,651,224,66282,1946,15333,10267,87837,43976
3360,436,55799,57582,2872,2626,58946,324,13708,10184,147311,67067
3361,352,49449,53081,3616,1834,54047,234,13979,9866,175438,52754
3363,1902,58614,57426,3801,2256,61712,1365,16921,8993,165949,80745
3364,1283,55037,56145,2807,2700,59286,887,15513,9773,176069,86275
3370,995,51328,53526,3785,2328,54006,677,13456,8555,125182,67719
3371,531,47075,48503,2980,3079,49654,361,11109,6166,119011,50670
3373,1347,52477,57925,1890,2082,56183,934,14313,9019,164122,71517
3374,244,60856,61935,8449,2027,63987,184,16100,11165,207414,97053
3375,148,70243,51754,9283,1268,78206,99,24983,12072,400946,66040
3377,5124,54693,56086,4277,2291,57389,3719,14038,9012,152081,60743
3378,103,83238,45587,4431,2640,93866,87,21833,14664,316266,105411
3379,394,60609,46642,8655,4003,66160,287,18230,9329,266722,63174
3380,3615,53159,54292,3356,1546,55891,2632,13477,8259,142526,54974
3381,807,55739,53618,6132,2959,59513,573,15703,8735,204684,89763
3384,352,45153,48602,7361,3865,48765,220,12567,8799,129134,65007
3385,297,59036,52254,4000,2654,61356,197,18850,8744,229939,60382
3387,191,57719,44648,9449,2606,63152,137,14617,10151,190450,48738
3388,348,70188,51550,10050,3636,76633,255,20677,12038,270161,52163
3390,521,56030,50122,2561,1187,59452,366,15865,10329,159679,70175
3391,99,57417,43869,7714,4511,63235,67,15880,7766,131645,52620
3392,305,64640,45650,7599,2191,68964,204,20440,10817,148932,60266
3393,1442,64912,50850,6067,2274,68880,1051,19367,9295,221676,72157
3395,243,72975,47115,13008,7748,81353,184,21856,12077,247955,51460
3396,429,66195,51064,5203,4355,70837,280,22314,11675,255154,62163
3400,8835,58935,56725,4881,2155,61993,6713,15154,9478,166283,64840
3401,2943,64765,54583,6460,2835,69475,2229,18058,11381,190720,85649
3407,276,57757,48401,4438,2972,62995,198,16400,10030,150411,68631
3409,661,58725,48825,7401,3434,64000,480,16207,9984,226127,73477
3412,187,63568,54962,8684,881,73039,134,21166,10254,191488,52456
3413,112,57513,53657,8191,3731,64136,86,13545,8791,210345,55974
3414,938,58590,56134,7888,1965,62391,658,16588,8914,158738,67484
3418,1655,58089,52269,8126,3661,63163,1260,14687,8762,185581,54747
3419,566,56099,48511,5631,2817,62697,399,15281,8982,219060,72561
3420,158,70369,37646,6165,4190,80182,121,19940,9532,361101,63630
3423,203,44880,46670,11355,5226,48391,129,12571,7402,169268,60662
3424,467,60967,49142,12985,3195,66917,311,19352,10097,271206,68992
3427,3728,66147,68131,388,-63,68883,3067,16660,12858,105126,50491
3428,400,69594,64090,3532,2177,73052,293,22146,13375,164772,68388
3429,23769,67245,68853,448,-74,70240,18833,18260,12728,153982,75647
3430,174,85951,65825,3835,78,90346,129,32355,11689,260989,76028
3431,2755,70397,72018,1373,596,73957,2105,20938,14008,228668,111401
3432,118,97952,73350,4873,3077,101847,79,47856,11828,242128,99523
3433,128,70710,72607,3735,1881,73996,91,23808,15712,215317,104327
3434,3689,72018,71782,1642,591,75620,2887,21324,13500,172955,84080
3435,1984,66865,69634,1792,843,70627,1511,19540,12394,175092,84388
3437,7200,78733,78771,1191,275,82553,5552,24997,16436,230007,118532
3438,1506,78502,79120,800,863,82194,1136,25794,16082,231902,116078
3440,1271,90931,91054,1297,875,95839,957,33001,18235,269133,128997
3441,877,124465,103535,-3298,259,130445,663,52870,22179,365293,146243
3442,5025,85317,84462,2830,1278,89193,3765,29970,16485,249272,122674
3444,5861,71573,69212,4742,2357,75131,4393,22598,12579,203003,88735
3446,680,61078,64921,2437,2102,63498,495,17265,12057,166920,79818
3447,318,62157,67224,3005,3022,64534,215,20297,12298,175324,87319
3448,579,64059,61759,5195,1353,66765,410,19906,10525,196983,101027
3450,3973,57802,58750,6202,3946,61016,2707,17273,10460,228058,90471
3451,3271,60461,60568,4904,2817,65025,2391,16966,10463,181734,85785
3453,1221,64750,61103,2801,2122,68037,917,18927,11142,200053,88153
3458,1395,66284,72074,4357,2664,69785,960,22353,12613,246366,112514
3460,1626,60967,62928,6453,3507,64876,1131,18730,8555,247464,94487
3461,2591,67770,62756,3250,1575,71003,1771,23956,9738,196658,83064
3462,681,51850,54173,5269,3997,55426,466,13603,9374,167988,81966
3463,1453,54834,58774,4182,2690,58398,958,16673,9199,190632,87114
3464,635,50858,53067,3497,2106,54218,442,12567,8548,131919,62196
3465,4793,49812,50012,3367,2148,52227,3334,12338,7292,128192,56207
3467,679,49129,51076,4795,2703,51643,457,12331,8363,125148,55556
3468,157,44519,46490,-10,-1775,47699,90,11819,7364,190478,68840
3469,146,60908,56566,3879,7,63748,94,19074,9634,158646,73496
3472,740,46555,49073,4003,3418,48872,473,11697,7109,126134,58042
3475,166,40260,53705,1910,0,46022,96,12340,6771,155566,59191
3477,486,53575,45712,6200,3500,57517,336,14289,8398,186125,62042
3478,1339,50819,52242,4387,1892,54108,928,13030,8652,168233,66846
3480,1067,50015,51270,3613,1531,53908,731,12753,7549,170167,61341
3482,96,48930,37823,10071,12125,53901,64,11305,5889,129345,44750
3483,564,60522,59083,1147,1164,66875,417,16264,9738,151630,54224
3485,170,52216,50102,8079,5207,56910,116,12202,8988,160634,54293
3487,56,64844,44728,7122,3288,71978,41,17316,13928,170855,55221
3488,71,46898,35207,16712,9472,52073,50,15416,7172,183043,55657
3490,692,51864,55920,5452,1960,55324,485,14485,9728,161971,63054
3491,84,68600,39843,-664,400,75619,61,20376,18809,121106,39014
3494,340,48315,49517,1920,500,51238,257,10396,7275,91701,31146
3496,3773,49697,51773,2529,1506,53603,2749,12234,7795,109356,43983
3498,3524,54905,56033,2457,1252,58039,2617,14392,9310,135083,56967
3500,19374,53689,53786,3161,1624,56384,14256,13351,8195,114584,35552
3501,1824,62271,62712,2168,860,65657,1397,16742,11053,172419,80897
3505,2753,50141,53670,2320,1714,52915,1980,12160,8390,119178,50118
3507,79,54906,39682,6409,2601,58299,54,18511,9875,140853,67443
3509,143,58087,46111,17505,1629,70309,99,15978,12301,238001,79216
3512,212,51686,46814,1993,1106,57965,136,14748,9306,155213,71627
3515,1551,68494,62060,1613,1006,71225,1230,19373,11123,123764,61844
3516,454,61052,54288,6092,4075,65305,332,16928,10257,158387,71940
3517,735,47852,48394,2662,1460,52226,495,11846,6713,118986,48468
3518,671,49145,47250,3371,2893,52048,429,13080,8285,132494,49043
3520,53,32303,38031,-438,-438,34864,29,7976,5209,57921,38209
3521,437,59442,62486,1013,537,62386,328,15485,10343,124379,68404
3522,173,55481,64016,2077,1690,58351,116,16780,10285,173768,79125
3523,1948,55036,56874,2986,1930,57805,1328,15627,9435,143035,74252
3525,755,49176,47540,4874,2209,53139,496,12500,8483,188171,71973
3527,448,49792,52409,2179,1492,55562,299,13396,7697,179221,86568
3529,75,71117,47008,5861,-1350,77481,56,21084,8069,176443,41613
3530,68,52855,48462,-6158,-525,59190,55,11241,8686,177401,65037
3531,123,73274,48041,22909,3569,79348,96,21408,10715,195864,69192
3533,425,55656,47682,4799,4324,59702,301,14229,10358,151423,58223
3537,594,50756,48581,3429,2377,54948,401,13551,8539,170855,69517
3540,167,78656,47666,3283,2149,85554,129,22872,10742,194829,84606
3542,104,40051,45513,7071,7571,45535,61,11637,8071,115384,52737
3544,156,44179,47636,4495,4922,48214,106,10069,7039,114342,40555
3546,265,55248,48661,3812,3658,61561,203,12313,8531,201687,61462
3549,2771,42453,41400,5904,2997,46154,1769,11090,5944,75531,7039
3550,24509,64653,60309,3325,1999,67662,18357,18879,10112,175763,60323
3551,22122,65393,65067,2494,1147,68447,17069,18025,12118,168410,83315
3555,11661,55677,56078,3046,1396,58047,8755,13759,8725,125324,55583
3556,7830,52235,53849,2210,1582,54500,5875,11967,8221,101863,46962
3557,538,59831,57622,3916,3182,63201,413,15318,10504,134684,71149
3558,560,78240,57080,5514,3291,82658,393,29919,9694,148549,61888
3559,297,56367,52283,4273,4292,61447,202,16180,8209,161053,60788
3561,2607,51815,53271,3350,2429,55559,1841,13521,8831,161760,68472
3562,161,56981,61757,-1506,-3889,65454,119,15384,8578,171901,76458
3563,434,46214,46767,1730,1650,49514,305,10101,6263,141571,59825
3564,10362,59843,57105,4761,2394,63267,7814,15985,9278,168923,68295
3565,60,57014,68008,-19583,-885,59189,40,18049,11608,120595,57362
3566,331,48777,51112,3448,3395,52828,225,11950,6507,169971,55523
3567,395,46160,51314,3777,2687,52922,264,10395,7493,137313,58283
3568,1628,52467,51966,3355,1932,56056,1137,13737,8765,183185,78637
3570,427,52897,50368,9728,2930,57867,315,13026,8206,141683,59116
3571,200,48112,47240,9614,8503,53176,139,11576,6443,194054,47520
3572,155,56125,62685,-2379,-1043,63409,119,13750,8745,143382,45302
3573,216,55230,51963,6848,4663,61331,166,13967,7558,155973,55015
3575,494,46110,47423,2629,1447,50108,333,10854,7197,130374,36866
3579,2975,50020,49473,3254,2250,53240,2028,13399,7965,154152,64370
3580,622,44983,47264,3661,1062,48128,425,10512,6472,147155,77948
3581,99,46133,48964,9615,9743,48638,66,11941,5607,170689,82995
3583,98,38148,44938,6998,7196,39673,63,9427,5689,109429,42794
3584,670,52402,52090,3702,2227,56159,491,12883,7420,239453,63376
3585,7387,57197,54317,4331,2374,60685,5556,14616,8916,161985,53751
3586,340,54765,55336,1486,1518,57574,259,13259,7899,132450,50124
3588,204,45541,44722,5150,4082,47139,146,9461,8081,92073,52479
3589,188,54816,46468,4013,2614,59565,139,14218,7800,116734,32277
3590,200,53119,53326,6214,4134,56071,134,14451,9933,188830,60587
3591,93,56887,56574,2961,2055,60642,75,12644,7040,182980,77252
3594,388,44623,46307,674,1318,47282,266,9727,6459,121968,35919
3595,333,47585,46294,4743,3522,50058,232,10775,6874,86122,31128
3596,83,48398,43417,5600,3026,53559,60,10790,7165,138267,35031
3597,285,52684,54192,3970,3538,58052,223,12854,8157,129000,19054
3599,91,57921,51605,4318,4914,62301,69,14823,10543,140149,39157
3607,77,69989,58779,3307,558,74117,65,18466,8808,171737,60685
3608,1615,62424,60119,5564,2521,66144,1196,17944,9634,196390,79256
3610,804,51938,53783,5385,2325,55364,568,13041,8471,148594,72299
3612,898,51763,50021,5312,2271,54452,620,13620,7953,135119,62046
3614,602,78545,63816,566,1093,82625,470,25932,11563,181065,85819
3616,3299,55930,61139,2956,2308,58729,2374,15199,9900,164463,67618
3617,96,43182,53705,3929,3377,45755,66,9681,5970,117206,63962
3618,408,48439,54080,5150,3354,51314,296,10840,7085,89475,40644
3620,4764,51106,54610,3788,1698,54008,3374,12836,8493,165659,62414
3621,1386,50318,52674,2140,1742,52983,977,12464,8655,119425,55682
3622,273,44568,54691,2089,2199,47739,174,11685,9114,141622,72111
3623,514,47439,54482,264,27,50358,342,11937,7380,153196,57936
3624,307,44507,51260,1587,2737,47308,213,9645,7347,111976,42775
3629,5121,50616,53152,2843,1635,53038,3793,11453,8009,118776,41853
3630,17890,55571,54221,3264,1575,58405,13245,14230,8237,154791,37176
3631,8952,64190,62344,2429,1302,67750,6965,17423,10958,184253,67721
3633,414,53602,56624,3033,1158,57167,288,14794,10542,207441,71303
3634,1155,52108,57554,1377,860,55133,826,13491,9678,152037,74163
3635,332,46419,52058,499,987,51126,227,11382,8343,106153,45845
3636,2945,52679,55061,3208,1795,56235,2150,12914,8542,145696,63030
3637,342,46713,55128,3800,2904,52323,237,11446,8182,117094,46881
3638,1221,51614,53340,1346,1128,54741,841,15118,8840,143786,59731
3639,310,46336,52154,3168,1344,49461,203,11912,9392,115345,45772
3640,671,46333,53730,1541,2815,50495,454,12241,7245,93074,36045
3641,704,56316,58590,2197,1688,59362,534,14530,9367,129298,51490
3644,5333,53357,53166,3839,2246,56786,3809,13949,8663,154123,58523
3646,365,53436,57851,3655,1425,57646,248,14357,10805,243298,80119
3649,269,53410,49488,5665,2872,57660,186,13909,9061,116216,44360
3658,3714,61986,62587,285,69,64964,2851,16730,10599,133030,65844
3659,435,67951,67571,2324,566,72316,334,20106,12072,239317,119044
3660,4200,55332,55852,4276,2796,57826,3128,13627,8581,153703,59737
3662,454,69939,73846,-87,435,72572,385,16131,15414,225922,113242
3663,109,58456,56146,2072,2497,60977,80,15190,10825,171845,47030
3664,705,60015,56501,5205,2100,63282,513,17503,10523,225682,85840
3665,230,60459,61741,6428,4816,64609,162,18629,8286,248487,77903
3666,2831,55344,56391,5996,3294,58475,1938,16143,9235,189482,77928
3669,817,52183,56624,3227,2124,55530,506,16607,8747,181611,79067
3670,375,50373,57000,11519,1992,54672,249,14070,10287,137062,69713
3672,5992,55515,56988,5034,2854,58092,4313,14790,9304,161947,66441
3673,1125,53588,56752,8499,4250,57930,739,16528,9272,202857,96477
3675,1234,55282,57327,3890,1964,58683,867,14834,9750,163781,85988
3677,10971,56563,55995,4134,2382,59201,8181,14492,9108,154797,66782
3678,4349,63066,61554,4541,3041,67005,3125,19423,11009,218438,101027
3682,391,57712,55657,6481,2742,61330,278,16500,11082,169935,68738
3683,1063,53291,56854,2767,1231,56232,783,12614,9248,147225,76450
3685,1888,57027,58226,4875,2830,60141,1391,14751,10580,204644,90652
3687,641,58050,59835,4639,2346,60705,487,14774,9714,157658,82708
3688,924,63745,61828,4686,1910,67618,708,17427,11028,170127,78256
3690,20876,58291,58555,3354,1606,60883,16048,14358,9918,142259,60725
3691,8072,65258,64878,3966,2176,68676,6406,17061,11872,176079,80856
3695,323,55154,56513,5547,3980,60305,216,15685,9703,210226,112238
3697,333,49851,50850,5247,2742,53833,208,15122,9254,202529,85036
3698,625,61787,59454,2234,1046,65518,428,19200,11167,217252,109676
3699,687,50749,50591,5446,3664,53155,476,13287,7143,173473,64085
3700,855,53687,55391,5743,3772,56891,618,13290,9837,156272,70474
3701,646,59517,50832,3207,2764,63064,450,19372,8311,153845,70851
3705,164,51315,46446,5580,2910,56086,114,13209,7431,114941,57117
3707,1003,53664,54322,3907,3315,57425,696,14004,9101,151330,67407
3708,51,50379,54181,5285,11190,54051,37,12354,6799,128367,69731
3709,184,51759,47964,8587,4495,57134,125,12173,6528,177858,78819
3711,346,57877,59379,3001,3534,60727,210,21734,10013,209271,103974
3712,207,56556,58857,3104,822,59219,148,15343,9182,174740,85208
3713,487,52521,52439,7733,2318,55363,355,12552,8617,130596,58430
3714,2164,56482,54580,4649,2808,59734,1516,16167,8916,175656,83696
3715,212,56873,58630,2868,1445,62341,136,19621,8879,168556,69637
3717,1872,54160,57398,3452,3043,57241,1240,15875,9081,192047,77110
3718,60,107171,62010,9264,3974,110345,42,45387,13978,282203,89262
3719,276,66410,60831,5854,2926,71316,179,25222,10638,206430,83545
3720,431,51270,53645,3846,2040,55243,281,14682,7582,175345,88509
3722,3583,61174,55982,4758,2675,64807,2615,17624,8712,191339,78606
3723,1781,55208,54313,4822,3291,58695,1190,17081,8393,195131,73967
3725,420,59276,59254,6099,1749,62671,306,16439,9348,207282,83379
3726,237,44485,44568,9931,6750,48480,147,11223,8091,198505,79015
3727,198,44744,52012,7148,6596,52038,135,10693,7566,212808,57733
3728,373,45612,49471,3010,1782,50332,258,11156,8114,130697,57021
3730,5503,57721,56472,3168,1711,60877,3968,15824,9428,190744,82080
3732,415,53255,48880,5317,4375,58545,277,13179,6751,130842,55350
3733,139,60733,48212,7405,3249,64287,89,22302,7436,185944,58601
3735,447,58700,55640,4198,2398,62932,359,13378,8391,160723,67000
3737,2777,55287,54892,4430,2781,59078,2007,14525,8562,164939,71918
3738,108,52680,52585,997,-1271,55186,86,11194,7189,99427,64972
3739,146,62614,47414,3120,2036,68309,103,19642,9199,177850,91555
3740,755,55772,56643,3294,1987,59509,548,14936,9184,180719,82471
3741,2144,59148,57370,5491,3350,62231,1558,16711,8974,194220,84098
3744,285,65850,57509,5305,2314,69308,201,20658,10840,221771,79792
3746,219,57412,56761,3406,1148,59003,155,16625,10292,136900,89080
